date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2025-07-16,test,CL,Deep-Backwardation,SELL,3.57,1.2662,1.0743,trailing_stop,12,0.2938,0.1175,TRUE,0.1919,0.1519
2025-07-17,test,CL,Deep-Backwardation,SELL,3.777,1.3121,1.0502,trailing_stop,11,0.2696,0.1078,TRUE,0.2619,0.2219
2025-07-18,test,CL,Deep-Backwardation,SELL,3.693,1.2917,1.0387,trailing_stop,10,0.2581,0.1032,TRUE,0.2531,0.2131
2025-07-19,test,CL,Deep-Backwardation,SELL,4.344,1.4417,1.0444,trailing_stop,9,0.2638,0.1055,TRUE,0.3973,0.3573
2025-07-21,test,CL,Deep-Backwardation,SELL,3.613,1.2721,1.0704,trailing_stop,8,0.2899,0.116,TRUE,0.2017,0.1617
2025-07-22,test,CL,Easing-Backwardation,SELL,2.696,1.0598,1.0598,trailing_stop,7,0.2899,0.1159,TRUE,0,-0.04
2025-07-23,test,CL,Easing-Backwardation,SELL,1.548,0.7958,1.0866,stop_loss,6,0.2909,0.1164,FALSE,-0.2909,-0.3309
2025-07-24,test,CL,Easing-Backwardation,SELL,2.068,0.916,0.718,time_exit,21,0.2912,0.1165,TRUE,0.198,0.158
2025-07-25,test,CL,Easing-Backwardation,SELL,1.704,0.8322,1.1296,stop_loss,4,0.2975,0.119,FALSE,-0.2975,-0.3375
2025-07-26,test,CL,Easing-Backwardation,SELL,1.478,0.7806,1.063,stop_loss,3,0.2825,0.113,FALSE,-0.2825,-0.3225
2025-07-28,test,CL,Easing-Backwardation,SELL,1.71,0.8343,1.1021,stop_loss,2,0.2677,0.1071,FALSE,-0.2677,-0.3077
2025-07-29,test,CL,Easing-Backwardation,SELL,2.147,0.9354,0.4365,time_exit,21,0.2845,0.1138,TRUE,0.4989,0.4589
2025-07-30,test,CL,Deep-Backwardation,SELL,3.163,1.1702,0.4329,time_exit,21,0.2858,0.1143,TRUE,0.7373,0.6973
2025-07-31,test,CL,Easing-Backwardation,SELL,2.674,1.063,0.4761,time_exit,21,0.3047,0.1219,TRUE,0.5869,0.5469
2025-08-01,test,CL,Deep-Backwardation,SELL,3.176,1.1818,0.4737,time_exit,21,0.3095,0.1238,TRUE,0.7081,0.6681
2025-08-02,test,CL,Deep-Backwardation,SELL,3.122,1.17,0.5473,time_exit,21,0.3035,0.1214,TRUE,0.6227,0.5827
2025-08-04,test,CL,Backwardation-Deficit,SELL,2.335,0.9869,0.5442,time_exit,21,0.3325,0.133,TRUE,0.4428,0.4028
2025-08-05,test,CL,Backwardation-Deficit,SELL,2.234,0.9646,0.5479,time_exit,21,0.3097,0.1239,TRUE,0.4167,0.3767
2025-08-06,test,CL,Backwardation-Deficit,SELL,2.099,0.9345,0.545,time_exit,21,0.2848,0.1139,TRUE,0.3895,0.3495
2025-08-07,test,CL,Backwardation-Deficit,SELL,1.682,0.8381,0.8381,trailing_stop,6,0.2641,0.1057,TRUE,0,-0.04
2025-08-08,test,CL,Backwardation-Deficit,SELL,1.782,0.8637,0.8637,trailing_stop,5,0.2216,0.0886,TRUE,0,-0.04
2025-08-09,test,CL,Easing-Backwardation,SELL,1.739,0.855,0.855,trailing_stop,4,0.2017,0.0807,TRUE,0,-0.04
